State Category,Subcategory,Group Category,Statutory Title,Statute Number,Authority Type,Alternate Citations,Record Type,Offense Description,Consequence Category,Lifecycle Stage,Offense Classification,DOC Seriousness Level,Internal Screening Tier,Violent Offense,Act 659 / State Equiv,Max Jail/Prison Time,Max Financial Fine,PAA Release Tier,Release Code,Release Parole Tier,Jail Only,Prison Eligible,Probation Eligible,SIS/Suspended Sentence,Parole Eligible,Mandatory Minimum,Earned Time Credits,Good Time Eligible,Electronic Monitoring,Work Release Eligible,Sealing Eligible,Sealing Waiting Period,Expungement Eligible,Pardon Eligible,Firearm Rights Restor.,Voting Rights Restored,Juvenile Sealing Avail,License Impact,BTB Status,Consequence Severity,Collateral Raw Summary,Collateral Firearms,Collateral Immigration,Collateral Voting,Collateral Housing,Collateral Registry,Collateral Employment,Source Citation,Research Status,Statute Version,Last Verified Date,Last Updated By,Corrections Key,State Category.1
Firearms & Weapons,Unlawful Carrying / Possession of Weapon,Group 6: Weapons Offenses,Tennessee Code Annotated,§ 39-17-1307(b)(1)(A),State Code,Tenn. Code Ann. § 39-17-1307(b)(1)(A); Tenn. Code Ann. Section 39-17-1307(b)(1)(A); Tenn.Code Ann.39-17-1307(b)(1)(A); Tenn Code Ann 39-17-1307(b)(1)(A); T.C.A. § 39-17-1307(b)(1)(A); T.C.A. 39-17-1307(b)(1)(A); TCA § 39-17-1307(b)(1)(A); TCA 39-17-1307(b)(1)(A); tca 39-17-1307(b)(1)(A); State Code 39-17-1307(b)(1)(A); Muni Code 39-17-1307(b)(1)(A); City Ord. 39-17-1307(b)(1)(A); 39-17-1307(b)(1)(A); 39171307; 39171307b1A; 039-017-1307; 39 17 1307; 39/17/1307; 39_17_1307,Criminal Conviction,"Felon in Possession of a Firearm; possessing a firearm after being convicted of a felony involving force, violence, or the use of a deadly weapon.",Criminal / Public Safety,Post-Sentence Execution,Class B Felony (Severe weapon-multiplier tier),Level 7,Tier 2 (High Severity),Yes (State Definition Dependent; tracks as a critical recidivist weapon offense),No,30 Years Imprisonment (Range III Career Offender Max; standard Range I maximum is 12 years),"$25,000.00",Standard Sentencing Grid Tier,GRID_CLASS_B,30% time served required for standard Range I offenders; up to 60% for Range III career offenders.,No,Yes,Yes (Court Discretion),Yes (Court Discretion),Yes,None (Unless specific career criminal enhancements are triggered concurrently),Yes,Yes,Yes (Conditional/Post-Release Only),Yes,No,N/A (Permanent Bar),No (Class B felonies are strictly excluded from expungement under T.C.A. § 40-32-101).,Yes (Governor),No (Permanent State and Federal Lifetime Bar),Automatic upon full discharge of sentence and payment of all court costs.,No (If transferred to adult court and convicted),"Permanent absolute revocation or denial of professional, commercial, or public trust licenses.",Excluded,Scale 5 (Extreme due to secondary multi-decade weapon enhancements),Reinforces lifetime federal firearm prohibition; total commercial disqualification from public contracting and transportation infrastructure management.,Permanent firearm prohibition under federal 18 U.S.C. § 922(g)(1) and Tennessee state codes.,Explicitly deemed an Aggravated Felony firearms offense under INA § 237(a)(2)(C); triggers mandatory deportation.,Restricted during active custodial or community supervision phases.,High risk; subject to mandatory denial by public housing authorities under safety-sensitive weapons criteria.,,"Absolute statutory bar from acting as a security officer, warehouse courier, public transport operator, or working near municipal public grids.",Tenn. Code Ann. § 39-17-1307(b)(1)(A) (2026),Verified,2026 Base Edition,2026-06,SYS_TOKEN_TN_WEAP,TN-WEAP-FELN-39171307B1A,Firearms & Weapons
Firearms & Weapons,Unlawful Carrying / Possession of Weapon,Group 6: Weapons Offenses,Tennessee Code Annotated,§ 39-17-1307(c)(1),State Code,Tenn. Code Ann. § 39-17-1307(c)(1); Tenn. Code Ann. Section 39-17-1307(c)(1); Tenn.Code Ann.39-17-1307(c)(1); Tenn Code Ann 39-17-1307(c)(1); T.C.A. § 39-17-1307(c)(1); T.C.A. 39-17-1307(c)(1); TCA § 39-17-1307(c)(1); TCA 39-17-1307(c)(1); tca 39-17-1307(c)(1); State Code 39-17-1307(c)(1); Muni Code 39-17-1307(c)(1); City Ord. 39-17-1307(c)(1); 39-17-1307(c)(1); 39171307; 39171307c1; 039-017-1307; 39 17 1307; 39/17/1307; 39_17_1307,Criminal Conviction,"Felon in Possession of a Firearm (Drug Nexus); possessing a firearm after being convicted of a felony drug offense under Title 39, Chapter 17, Part 4.",Criminal / Public Safety,Post-Sentence Execution,Class C Felony (Distinct structural partition from violent felony weapon rules),Level 6,Tier 2 (High Severity),No,No,15 Years Imprisonment (Standard Class C Range III Max; standard Range I maximum is 6 years),"$10,000.00",Standard Sentencing Grid Tier,GRID_CLASS_C,30% time served required for standard Range I offenders.,No,Yes,Yes (Court Discretion),Yes (Court Discretion),Yes,,Yes,Yes,Yes (Conditional/Post-Release Only),Yes,No,N/A (Permanent Bar),No (Class C felonies of this category are excluded from expungement options under T.C.A. § 40-32-101).,Yes (Governor),No (Federal lifetime felony bar remains),Automatic upon full discharge of sentence and termination of parole/probation.,No (If transferred to adult court and convicted),"Mandatory suspension or permanent revocation of commercial, industrial, or public trust permits.",Excluded,Scale 4,Permanent lifetime firearm ban under federal 18 U.S.C. § 922(g)(1); strict screening barriers for public or medical infrastructure employment.,Permanent firearm prohibition under federal 18 U.S.C. § 922(g)(1).,Deemed a deportable firearms offense under INA § 237(a)(2)(C).,Restricted during active custodial or community supervision phases.,High risk; subject to denial by public housing authorities under drug/weapons safety criteria.,,"Absolute statutory bar from acting as a pharmacy technician, medical transport handler, private detective, or commercial courier.",Tenn. Code Ann. § 39-17-1307(c)(1) (2026),Verified,2026 Base Edition,2026-06,SYS_TOKEN_TN_WEAP,TN-WEAP-DRUG-39171307C1,Firearms & Weapons
Drug Offenses,Drug Manufacturing / Sale,Group 2: Drug Crimes,Tennessee Code Annotated,§ 39-17-417(b),State Code,Tenn. Code Ann. § 39-17-417(b); Tenn. Code Ann. Section 39-17-417(b); Tenn.Code Ann.39-17-417(b); Tenn Code Ann 39-17-417(b); T.C.A. § 39-17-417(b); T.C.A. 39-17-417(b); TCA § 39-17-417(b); TCA 39-17-417(b); tca 39-17-417(b); State Code 39-17-417(b); Muni Code 39-17-417(b); City Ord. 39-17-417(b); 39-17-417(b); 3917417; 3917417b; 39-17-0417; 39170417; 039-017-0417; 39 17 417; 39/17/417; 39_17_417,Criminal Conviction,"Controlled Substance Manufacturing and Sale; intentionally manufacturing, delivering, selling, or possessing with intent to manufacture, deliver, or sell a Schedule I controlled substance (e.g., Heroin, LSD).",Criminal / Public Safety / Drug Controlled Matrix,Post-Sentence Execution,Class B Felony (Subject to high-weight drug enhancements),Level 7,Tier 2 (High Severity),No (Unless explicit firearm nexus components co-occur under § 39-17-1324),No,30 Years Imprisonment (Standard Class B Range III Max; standard Range I maximum is 12 years),"$100,000.00 (Special drug fine threshold; overrides baseline Class B caps)",Standard Sentencing Grid Tier,GRID_CLASS_B,30% time served required for standard Range I offenders; up to 60% for Range III career offenders.,No,Yes,Yes (Court Discretion),Yes (Court Discretion),Yes,None (Unless specific school zone enhancements apply under § 39-17-432),Yes,Yes,Yes (Conditional/Post-Release Only),Yes,No,N/A (Permanent Bar),No (Class B drug manufacturing felonies are strictly excluded from expungement under T.C.A. § 40-32-101).,Yes (Governor),No (Federal lifetime felony bar remains),Automatic upon full discharge of sentence and termination of parole/probation.,No (If transferred to adult court and convicted),"Permanent absolute revocation or denial of professional, medical, nursing, pharmaceutical, or public trust licenses.",Excluded,Scale 4 (Severe due to irreversible financial and public trust bars),Permanent lifetime firearm ban; total commercial disqualification from public or medical sectors; high housing eviction risk.,Permanent firearm prohibition under federal 18 U.S.C. § 922(g)(1).,Deemed an Aggravated Felony drug trafficking offense under INA § 237; triggers mandatory deportation and a permanent bar on re-entry.,Restricted during active custodial or community supervision phases.,High risk; subject to long-term exclusions by public housing authorities under federal drug trafficking parameters.,,"Absolute statutory bar from acting as a healthcare provider, child care worker, pharmaceutical transport employee, or municipal emergency responder.",Tenn. Code Ann. § 39-17-417(b) (2026),Verified,2026 Base Edition,2026-06,SYS_TOKEN_TN_DRUG,TN-DRUG-SCH1-3917417B,Drug Offenses
Drug Offenses,Drug Manufacturing / Sale,Group 2: Drug Crimes,Tennessee Code Annotated,§ 39-17-417(c),State Code,Tenn. Code Ann. § 39-17-417(c); Tenn. Code Ann. Section 39-17-417(c); Tenn.Code Ann.39-17-417(c); Tenn Code Ann 39-17-417(c); T.C.A. § 39-17-417(c); T.C.A. 39-17-417(c); TCA § 39-17-417(c); TCA 39-17-417(c); tca 39-17-417(c); State Code 39-17-417(c); Muni Code 39-17-417(c); City Ord. 39-17-417(c); 39-17-417(c); 3917417; 3917417c; 39-17-0417; 39170417; 039-017-0417; 39 17 417; 39/17/417; 39_17_417,Criminal Conviction,"Controlled Substance Manufacturing and Sale; intentionally manufacturing, delivering, selling, or possessing with intent to manufacture, deliver, or sell a Schedule II controlled substance (e.g., Cocaine, Methamphetamine, Fentanyl, Oxycodone).",Criminal / Public Safety / Drug Controlled Matrix,Post-Sentence Execution,"Class B Felony (Escalates to a Class A Felony if high weight thresholds under subsection (c)(1) are satisfied, such as 0.5 grams or more of Cocaine/Methamphetamine)",Level 7 (Class B) / Level 8 (Class A),Tier 2 (Class B) / Tier 1 (Class A),No (Unless firearm nexus components apply concurrently),No,30 Years Imprisonment (Class B Range III Max) / 60 Years Imprisonment (If Class A Felony weight tier is reached),"$100,000.00 (Class B) / $500,000.00 (Class A high-weight maximum drug fine)",Standard Sentencing Grid Tier,GRID_CLASS_B / GRID_CLASS_A,30% time served required for standard Range I offenders; up to 60% for Range III career offenders.,No,Yes,Yes (Court Discretion),Yes (Court Discretion),Yes,None (Unless school zone enhancements apply under § 39-17-432),Yes,Yes,Yes (Conditional/Post-Release Only),Yes,No,N/A (Permanent Bar),No (Class B and Class A drug manufacturing felonies are strictly excluded from expungement under T.C.A. § 40-32-101).,Yes (Governor),No (Federal lifetime felony bar remains),Automatic upon full discharge of sentence and termination of parole/probation.,No (If transferred to adult court and convicted),"Permanent absolute revocation or denial of professional, medical, nursing, pharmaceutical, or public trust licenses.",Excluded,Scale 5 (Extreme due to high financial fines and lifetime professional blocks),Permanent lifetime firearm ban; total commercial disqualification from public or medical sectors; high housing eviction risk.,Permanent firearm prohibition under federal 18 U.S.C. § 922(g)(1).,Deemed an Aggravated Felony drug trafficking offense under INA § 237; triggers mandatory deportation and a permanent bar on re-entry.,Restricted during active custodial or community supervision phases.,High risk; subject to long-term exclusions by public housing authorities under federal drug trafficking parameters.,,"Absolute statutory bar from acting as a healthcare provider, child care worker, pharmaceutical transport employee, or municipal emergency responder.",Tenn. Code Ann. § 39-17-417(c) (2026),Verified,2026 Base Edition,2026-06,SYS_TOKEN_TN_DRUG,TN-DRUG-SCH2-3917417C,Drug Offenses
Firearms & Weapons,Unlawful Carrying / Possession of Weapon,Group 6: Weapons Violations and Public Safety Offenses,Tennessee Code Annotated,§ 39-17-1307(f)(1),State Code,Tenn. Code Ann. § 39-17-1307(f)(1); Tenn. Code Ann. Section 39-17-1307(f)(1); Tenn.Code Ann.39-17-1307(f)(1); Tenn Code Ann 39-17-1307(f)(1); T.C.A. § 39-17-1307(f)(1); T.C.A. 39-17-1307(f)(1); TCA § 39-17-1307(f)(1); TCA 39-17-1307(f)(1); tca 39-17-1307(f)(1); State Code 39-17-1307(f)(1); Muni Code 39-17-1307(f)(1); City Ord. 39-17-1307(f)(1); 39-17-1307(f)(1); 39171307; 39171307f1; 039-017-1307; 39 17 1307; 39/17/1307; 39_17_1307,Criminal Conviction,"Possession of a Firearm While Intoxicated; possessing a firearm in a public place while under the influence of alcohol, any controlled substance, controlled substance analogue, or any other intoxicating substance.",Criminal / Public Safety / Licensing Action,Post-Sentence Execution,Class A Misdemeanor,Level 1 (Misdemeanor Grid Tier),Tier 4 (High safety-sensitive priority),No (Unless an active deployment or concurrent assault/endangerment crossover occurs),No,"11 Months, 29 Days Custodial Exposure","$2,500.00",Local Jail Misdemeanor Framework,MISD_LOCAL,Flat time served required; eligible for standard local jail credit reductions up to 25%.,Yes,No,Yes,Yes (Court Discretion),No,,Yes,Yes,No (Unless ordered under pretrial release or as a specialized probation tracking condition),Yes,Yes,5 years from completion of all sentence conditions and clearance of financial costs.,Yes (Eligible under general misdemeanor parameters of T.C.A. § 40-32-101 if no concurrent felony or dynamic domestic violence nexus applies).,Yes (Governor),Conditional (Subject to standard misdemeanor expungement or handgun carry permit revocation lifters; note that a conviction results in an automatic statutory revocation of the offender's enhanced or concealed handgun carry permit for at least 5 years under T.C.A. § 39-17-1352),Intact (Misdemeanor status preserves voting profile),Yes,Mandatory suspension or revocation of Tennessee handgun carry permits for 5 years; presumptive review of professional or commercial licenses with safety-sensitive drug/alcohol guidelines.,Protected,Scale 2,Mandatory handgun permit suspension for 5 years; commercial firearm transit restrictions; low-to-moderate screening flags on public-facing enterprise registries.,Handgun carry permit revoked for 5 years; state background checks flagged. No permanent federal 18 U.S.C. § 922(g) bar applies unless linked to domestic violence or drug addiction indices.,Potential deportation risk if characterized as an immigration-related firearms offense or paired with extensive controlled substance abuse metrics.,No Impact.,Low-to-moderate risk; subject to housing authority weapons and substance policy screens.,,"Screening hurdles for jobs involving armed security, fleet transport, logistics, public works, or safety-sensitive machinery operation.",Tenn. Code Ann. § 39-17-1307(f)(1) (2026),Verified,2026 Base Edition,2026-06,SYS_TOKEN_TN_WEAP,TN-WEAP-INTO-39171307F1,Firearms & Weapons
Firearms & Weapons,Unlawful Carrying / Possession of Weapon,Group 6: Weapons Violations and Public Safety Offenses,Tennessee Code Annotated,§ 39-17-1307(b)(1)(B),State Code,Tenn. Code Ann. § 39-17-1307(b)(1)(B); Tenn. Code Ann. Section 39-17-1307(b)(1)(B); Tenn.Code Ann.39-17-1307(b)(1)(B); Tenn Code Ann 39-17-1307(b)(1)(B); T.C.A. § 39-17-1307(b)(1)(B); T.C.A. 39-17-1307(b)(1)(B); TCA § 39-17-1307(b)(1)(B); TCA 39-17-1307(b)(1)(B); tca 39-17-1307(b)(1)(B); State Code 39-17-1307(b)(1)(B); Muni Code 39-17-1307(b)(1)(B); City Ord. 39-17-1307(b)(1)(B); 39-17-1307(b)(1)(B); 39171307; 39171307b1B; 039-017-1307; 39 17 1307; 39/17/1307; 39_17_1307,Criminal Conviction,"Unlawful Possession of a Firearm by a Convicted Drug Felon; possessing a firearm after having been convicted of a felony drug offense under Title 39, Chapter 17, Part 4, or a felony drug offense in another jurisdiction.",Criminal / Public Safety / Recidivist Enhancement,Post-Sentence Execution,"Class C Felony (Note: Distinct from possession after a violent felony conviction, which is a Class B Felony under subsection (b)(1)(A))",Level 6,Tier 2 (High Severity),"No (Unless explicit deployment elements are proven, but carries heavy violent history proxy screening indicators)",No (Subject to standard felony sentencing grid tracks rather than flat Truth-in-Sentencing laws),15 Years Imprisonment (Standard Class C Range III Career Offender Max; standard Range I maximum is 6 years),"$10,000.00",Standard Sentencing Grid Tier,GRID_CLASS_C,30% time served required before parole eligibility review for standard Range I; up to 60% for Range III career offenders.,No,Yes,Yes (Court Discretion; available under basic sentence length rules but heavily scrutinized due to firearms recidivism),Yes (Court Discretion),Yes,,Yes,Yes,Yes (Conditional/Post-Release Only),Yes,No,N/A (Permanent Bar),"No (Felony weapons violations under Chapter 17, Part 13 are strictly excluded from expungement options under T.C.A. § 40-32-101).",Yes (Governor),"No (Tennessee law permanently bars firearm restoration for any felony weapon offense or felony drug possession/sale conviction, and the federal bar remains absolute)",Automatic upon full completion of sentence and clearance of all legal financial obligations.,No (If transferred to adult court and convicted),"Permanent mandatory revocation or absolute denial of professional, instructional, medical, commercial, or public trust licenses.",Excluded,Scale 4 (Severe due to compounding felony status and absolute weapon restrictions),"Permanent lifetime firearm ban under state and federal law; long-term background check flags; strict screening exclusions from fields requiring fiduciary trust, community entry, or armed transport.",Absolute permanent lifetime firearm prohibition under federal 18 U.S.C. § 922(g)(1) and Tennessee state codes.,Deemed a firearms conviction and an aggravated felony or serious crime crossover depending on the sentence imposed; triggers immediate removal and deportation under INA § 237.,Restricted during active custodial or community supervision phases.,High risk; subject to long-term or mandatory denial by public housing authorities under community weapons-safety metrics.,,"Absolute statutory bar from acting as a private security guard, corporate safety director, law enforcement asset, or any role involving public trust administration.",Tenn. Code Ann. § 39-17-1307(b)(1)(B) (2026),Verified,2026 Base Edition,2026-06,SYS_TOKEN_TN_WEAP,TN-WEAP-FELN-39171307B1B,Firearms & Weapons
Firearms & Weapons,Unlawful Carrying / Possession of Weapon,Group 6: Weapons Violations and Public Safety Offenses,Tennessee Code Annotated,§ 39-17-1307(a),State Code,Tenn. Code Ann. § 39-17-1307(a); Tenn. Code Ann. Section 39-17-1307(a); Tenn.Code Ann.39-17-1307(a); Tenn Code Ann 39-17-1307(a); T.C.A. § 39-17-1307(a); T.C.A. 39-17-1307(a); TCA § 39-17-1307(a); TCA 39-17-1307(a); tca 39-17-1307(a); State Code 39-17-1307(a); Muni Code 39-17-1307(a); City Ord. 39-17-1307(a); 39-17-1307(a); 39171307; 39171307a; 039-017-1307; 39 17 1307; 39/17/1307; 39_17_1307,Criminal Conviction,"Unlawful Carrying or Possession of a Weapon; carrying a firearm or other deadly weapon with the intent to go armed, outside of statutory lawful-carry exceptions or permitless-carry parameters.",Criminal / Public Safety,Post-Sentence Execution,Class C Misdemeanor (Standard); escalates to a Class A Misdemeanor if committed in a public place or establishment serving alcohol.,Level 1 (Misdemeanor Grid Tier),Tier 5 (Lowest Severity),No,No,"30 Days Custodial Exposure (Class C Misdemeanor); up to 11 Months, 29 Days if enhanced to Class A Misdemeanor.","$500.00 (Class C) / $2,500.00 (Class A)",Local Jail Misdemeanor Framework,MISD_LOCAL,Flat time served required; eligible for standard local jail credit reductions up to 25%.,Yes,No,Yes,Yes (Court Discretion),No,,Yes,Yes,No,Yes,Yes,5 years from completion of all sentence conditions and clearance of financial costs.,Yes (Eligible under general misdemeanor parameters of T.C.A. § 40-32-101 if no concurrent felony or dynamic domestic violence nexus applies).,Yes (Governor),Yes (Fully restorable post-expungement; note that a conviction results in an automatic temporary statutory restriction from obtaining a handgun carry permit under T.C.A. § 39-17-1352),Intact (Misdemeanor status preserves voting profile),Yes,Temporary restriction or denial of Tennessee handgun carry permits; review of professional licenses with safety-sensitive property guidelines.,Protected,Scale 1,Temporary handgun permit restrictions; minor background check flags on public-facing enterprise registries.,No permanent federal 18 U.S.C. § 922(g) bar applies unless linked to felony or domestic violence indices.,Potential deportation risk if characterized as an immigration-related firearms offense under INA § 237.,No Impact.,Low risk; subject to housing authority weapons rules.,,"Minor screening hurdles for jobs involving private security, fleet transit, or safety-sensitive logistics.",Tenn. Code Ann. § 39-17-1307(a) (2026),Verified,2026 Base Edition,2026-06,SYS_TOKEN_TN_WEAP,TN-WEAP-UNLW-39171307A,Firearms & Weapons
Drug Offenses,Drug Manufacturing / Sale,Group 2: Drug / Controlled Substance Related Crimes,Tennessee Code Annotated,§ 39-17-417(g)(1),State Code,Tenn. Code Ann. § 39-17-417(g)(1); Tenn. Code Ann. Section 39-17-417(g)(1); Tenn.Code Ann.39-17-417(g)(1); Tenn Code Ann 39-17-417(g)(1); T.C.A. § 39-17-417(g)(1); T.C.A. 39-17-417(g)(1); TCA § 39-17-417(g)(1); TCA 39-17-417(g)(1); tca 39-17-417(g)(1); State Code 39-17-417(g)(1); Muni Code 39-17-417(g)(1); City Ord. 39-17-417(g)(1); 39-17-417(g)(1); 3917417; 3917417g1; 39-17-0417; 39170417; 039-017-0417; 39 17 417; 39/17/417; 39_17_417,Criminal Conviction,"Manufacture, Delivery, or Sale of a Schedule VI Substance; knowingly manufacturing, delivering, selling, or possessing with intent to manufacture, deliver, or sell a substance classified under Schedule VI (e.g., Marijuana) in an amount of not less than 0.5 ounces nor more than 10 pounds.",Criminal / Public Safety / Controlled Substance Risk,Post-Sentence Execution,Class E Felony (Note: Higher weights scale up to Class B Felonies under subsection (g)(3)),Level 2,Tier 4,No,No,6 Years Imprisonment (Class E Felony Range III Career Offender Max; standard Range I maximum is 2 years),"$5,000.00 (This overrides the baseline Class E Felony fine threshold of $3,000).",Standard Sentencing Grid Tier,GRID_CLASS_E,30% time served required for standard Range I offenders; up to 60% for Range III career offenders.,"No (Unless sentence is 1 year or less, allowing local jail service)",Yes,Yes (Carries statutory presumption of alternative sentencing eligibility),Yes (Court Discretion),Yes,,Yes,Yes,Yes (Conditional/Post-Release Only),Yes,Yes,5 years from completion of all sentence conditions and payment of court assessments.,Yes (Eligible as a non-excluded Class E felony under T.C.A. § 40-32-101 parameters if no concurrent violent felony exclusions are triggered).,Yes (Governor),"No (Tennessee law permanently bars firearms for any felony drug possession/sale conviction, and the federal bar remains absolute unless expunged)",Automatic upon full discharge of sentence and termination of parole/probation.,Yes,"Mandatory review and presumptive revocation or denial of professional, botanical nursery, or commercial licenses.",Protected,Scale 2,Permanent lifetime firearm ban unless expunged; total commercial exclusion from holding specialized nursery or distribution licenses.,Permanent firearm prohibition under federal 18 U.S.C. § 922(g)(1) unless expunged.,Controlled substance violation under INA § 237; triggers a high risk of mandatory deportation and inadmissible alien designation (Exceptions for minor single possession under 30 grams do not apply to commercial sales categories).,Restricted during active custodial or community supervision phases.,High risk; subject to landlord screening systems under drug-safety exclusions.,,"Severe screening hurdles across all government contracting sectors, public administration fields, and roles involving fiduciary trust.",Tenn. Code Ann. § 39-17-417(g)(1) (2026),Verified,2026 Base Edition,2026-06,SYS_TOKEN_TN_DRUG,TN-DRUG-SCH6-3917417G1,Drug Offenses
Drug Offenses,Drug Possession,Group 2: Drug Crimes,Tennessee Code Annotated (T.C.A.),§ 39-17-418(a),State Code,Tenn. Code Ann. § 39-17-418(a); Tenn. Code Ann. Section 39-17-418(a); Tenn.Code Ann.39-17-418(a); Tenn Code Ann 39-17-418(a); T.C.A. § 39-17-418(a); T.C.A. 39-17-418(a); TCA § 39-17-418(a); TCA 39-17-418(a); tca 39-17-418(a); State Code 39-17-418(a); Muni Code 39-17-418(a); City Ord. 39-17-418(a); 39-17-418(a); 3917418; 3917418a; 39-17-0418; 39170418; 039-017-0418; 39 17 418; 39/17/418; 39_17_418,Criminal Conviction,Simple Possession or Casual Exchange of a Controlled Substance. It criminalizes knowingly possessing or spontaneously exchanging a personal-use quantity of a controlled substance without a valid prescription.,"Criminal, Financial",Conviction / Adjudication,Class A Misdemeanor (Baseline first/second offense). (Note: Certain repeat offenses or casual exchange to a minor can be elevated to a Class E felony).,N/A (Misdemeanors are not ranked on the Tennessee Department of Correction felony sentencing grid).,Tier 2 (Standard Misdemeanor Crime),No,No (Subject to standard Tennessee misdemeanor sentencing frameworks under T.C.A. § 40-35-302).,11 months and 29 days.,"$2,500. (Note: Mandatory minimum statutory drug fines also apply, such as a $250 minimum for a first-time conviction).",Misdemeanor Standard Release,TN-MISD,"Flat-time misdemeanor sentence. Inmates are typically eligible for work or behavior credits while serving misdemeanor jail time, up to a 75% release eligibility profile set by the sentencing judge.","Yes (Sentences are served in local county jails/workhouses, not state prison).",No (Unless enhanced to a Class E felony due to specific repeat priors).,Yes (Court discretion; frequently granted for first-time offenses).,Yes (Court discretion under Tennessee judicial diversion frameworks like T.C.A. § 40-35-313).,No (Parole applies strictly to felony prison sentences in Tennessee; misdemeanors use standard county-level release structures).,"None for jail exposure, but a mandatory minimum fine of $250 applies to a 1st offense ($500 for a 2nd offense).",Yes (Subject to local jail guidelines).,Yes (Subject to standard misdemeanor conduct credits).,Conditional (Available as an alternative to confinement at court discretion).,Yes (Conditional upon local jail program availability and court authorization).,Yes (Via expungement).,"5 years from the date of sentence completion, provided all fines, fees, and restitution are fully paid.","Yes (Eligible under T.C.A. § 40-32-101(g) as a non-violent misdemeanor, provided the petitioner has no more than 2 total convictions).",Yes (Governor).,Yes (Automatically intact or restorable upon misdemeanor expungement under Tennessee law and 18 U.S.C. § 921(a)(20)).,Intact (Misdemeanor convictions in Tennessee do not result in the forfeiture of voting rights; loss of civil rights applies only to felonies).,Yes,"Discretionary review, suspension, or denial by professional licensing boards (e.g., nursing, pharmacy, or commercial driving licensing).",Excluded (Ban-the-Box protections rarely shield active drug-related convictions from employer screening context).,"2 out of 5 scale (Carries lasting collateral consequences, but remains a misdemeanor rather than a felony).","Permanent misdemeanor criminal record unless expunged after 5 years; causes strict screenings for healthcare or fiduciary roles, potential driver's license suspension, loss of public housing assistance eligibility, and standard student financial aid complications.","No restriction under state law or 18 U.S.C. § 922(g) for a pure misdemeanor conviction, unless the individual is deemed an unlawful user of or addicted to any controlled substance.","Highly severe. Under INA § 237(a)(2)(B)(i), any conviction relating to a controlled substance (except for a single offense involving possession of 30 grams or less of marijuana for personal use) renders a non-citizen deportable.",Intact (No impact for misdemeanors).,Discretionary denial by public housing authorities or Section 8 programs for recent drug-related criminal activity.,"No (Does not mandate placement on sex, child abuse, or adult abuse registries).","Direct barrier for pharmacy, law enforcement, education, and medical facility placements; background screenings will flag the offense unless it is explicitly expunged.",T.C.A. § 39-17-418,Verified,2026 Base,2026-06,SYS_CORP_LEGAL_09,TN-MCA-39-17-418,Drug Offenses
Impaired Driving,DUI / DWI — General (Criminal),Group 4: Traffic / Vehicular Crimes,Tennessee Code Annotated (T.C.A.),§ 55-10-401,State Code,Tenn. Code Ann. § 55-10-401; Tenn. Code Ann. Section 55-10-401; Tenn.Code Ann.55-10-401; Tenn Code Ann 55-10-401; T.C.A. § 55-10-401; T.C.A. 55-10-401; TCA § 55-10-401; TCA 55-10-401; tca 55-10-401; State Code 55-10-401; Muni Code 55-10-401; City Ord. 55-10-401; 55-10-401; 5510401; 55-10-0401; 55100401; 055-010-0401; 55 10 401; 55/10/401; 55_10_401,Criminal Conviction,"Driving Under the Influence Prohibited. Prohibits driving or exercising physical control of any motor vehicle on public roads or public-frequented premises while under the influence of an intoxicant, marijuana, or drug, or with a BAC/BrAC of 0.08% or higher.",Criminal / Financial / Fiduciary,Conviction / Adjudication,Class A Misdemeanor (1st–3rd offenses); escalates to Class E Felony on 4th offense and Class D Felony on 6th offense.,,Tier 2,State Definition Dependent (Non-violent baseline; strict sentencing limits apply),No,"11 Months, 29 Days","$1,500 (1st offense); $3,500 (2nd); $10,000 (3rd)",Specialized Misdemeanor Release Frame,TN-DUI,Mandatory minimum flat confinement must be served (48 hrs 1st; 45 days 2nd; 120 days 3rd) before release to probation.,Yes (Misdemeanor tier),No (Unless enhanced to felony tier),Yes (Court Discretion after mandatory minimum),Restricted (Mandatory minimum cannot be suspended),No,48 hours (1st); 45 days (2nd); 120 days (3rd),Yes (Probationary portion only),Yes,Yes (Ignition Interlock Device required),Yes (Conditional),No,,No (Explicitly excluded under T.C.A. § 40-32-101),Yes (Governor),Yes (Misdemeanor; no state or federal bar unless drug dependency applies),Intact,Yes,Mandatory driver's license revocation (1 yr 1st; 2 yrs 2nd; 6 yrs 3rd); discretionary professional license review.,Excluded,3,Mandatory incarceration; automatic loss of driving privileges; mandatory Ignition Interlock Device; un-expungeable record; significant insurance increases; barriers to transit/transportation employment.,No federal/state firearm bar for misdemeanor DUI unless individual is unlawful drug user.,"Generally not a CIMT if simple, but can cause major visa/admissibility issues if linked to drug use or multiple offenses.",Intact,Discretionary private landlord screening bars.,No,"Excludes from commercial vehicle operation; heavily impacts logistics, delivery, and field-sales employment.",T.C.A. § 55-10-401,Verified,2026 Base,2026-06,SYS_CORP_LEGAL_09,TN-MCA-55-10-401,Transportation (DOT)
