State Category,Subcategory,Group Category,Statutory Title,Statute Number,Authority Type,Alternate Citations,Record Type,Offense Description,Consequence Category,Lifecycle Stage,Offense Classification,DOC Seriousness Level,Internal Screening Tier,Violent Offense,Act 659,Max Jail Time,Max Financial Fine,PAA Release Tier,Release Code,Release Parole Tier Full,Jail Only,Prison Eligible,Probation Eligible,SIS / Suspended Sentence,Parole Eligible,Mandatory Minimum,Earned Time Credits,Good Time Eligible,Electronic Monitoring,Work Release Eligible,Sealing Eligible,Sealing Waiting Period,Expungement Eligible,Pardon Eligible,Firearm Rights Restorable,Voting Rights Restored,Juvenile Sealing Available,License Impact,BTB Status,Consequence Severity,Key Collateral Consequences Raw,Collateral Firearms,Collateral Immigration,Collateral Voting,Collateral Housing Benefits,Collateral Registry,Collateral Employment,Source Citation,Research Status,Statute Version,Last Verified Date,Last Updated By,Corrections & Relief Key
Public Order & Conduct,Disorderly Conduct,Group 1: Core Penal,Title 5 (Criminal Law),§ 5-71-207,Arkansas Code,Ark. Code Ann. § 5-71-207 | Arkansas Code Annotated § 5-71-207 | Arkansas Code § 5-71-207 | A.C.A. § 5-71-207 | A.C.A. 5-71-207 | ACA § 5-71-207 | ACA 5-71-207 | Ark.Code Ann.5-71-207 | Ark Code 5-71-207 | Ark. Code 5-71-207 | ar code sect 5-71-207 | § 5-71-207 | A.C.A.§ 5-71-207 | A.C.A.§5-71-207 | §5-71-207 | 5-71-207 | 571207 | 05-71-207 | 05-71-0207 | 5 71 207 | 5/71/207 | 5_71_207,Criminal Conviction,Disorderly Conduct,Criminal,Conviction,Class C Misdemeanor,,Tier 1,No,No,30 days,$500,Non-applicable,LOCAL,Served locally in county jail facilities,Yes,No,Yes,Yes,No (local sentence),N/A (local),Yes,Yes,Court Discretion,Eligible,Yes,1 year,Yes,Yes (Governor),Yes,Upon completion of sentence,N/A (adult offense),Minimal impact; subject to review by specific municipal hiring boards,Eligible for immediate sealing upon completion of sentence requirements,1 – Minor Misdemeanor,Potential temporary restriction from specific public forums or municipal buildings,None indicated,None indicated,None indicated,None indicated,None indicated,Standard employer discretion,Ark. Code Ann. § 5-71-207 | Title 5 (Criminal Law),Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Assault & Battery,Harassment / Stalking,Group 1: Core Penal,Title 5 (Criminal Law),§ 5-71-212,Arkansas Code,Ark. Code Ann. § 5-71-212 | Arkansas Code Annotated § 5-71-212 | Arkansas Code § 5-71-212 | A.C.A. § 5-71-212 | A.C.A. 5-71-212 | ACA § 5-71-212 | ACA 5-71-212 | Ark.Code Ann.5-71-212 | Ark Code 5-71-212 | Ark. Code 5-71-212 | ar code sect 5-71-212 | § 5-71-212 | A.C.A.§ 5-71-212 | A.C.A.§5-71-212 | §5-71-212 | 5-71-212 | 571212 | 05-71-212 | 05-71-0212 | 5 71 212 | 5/71/212 | 5_71_212,Criminal Conviction,Harassment,Criminal,Conviction,Class A Misdemeanor,,Tier 2,No,No,1 year,"$2,500",Non-applicable,LOCAL,Served locally in county jail facilities,Yes,No,Yes,Yes,No (local sentence),N/A (local),Yes,Yes,Court Discretion,Eligible,Conditional,3 years,Yes,Yes (Governor),Yes,Upon completion of sentence,N/A (adult offense),"Restricts childcare, academic employment, and home health services",Protected only after the statutory waiting window for sealing ends,2 – Standard Misdemeanor,Frequently serves as the foundation for the issuance of permanent civil orders of protection,None indicated,None indicated,None indicated,None indicated,None indicated,Standard employer discretion,Ark. Code Ann. § 5-71-212 | Title 5 (Criminal Law),Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Domestic & Family Offenses,Domestic Violence,Group 2: Family & Protective Orders,Domestic Abuse Act,§ 9-15-207,Arkansas Code,Ark. Code Ann. § 9-15-207 | Arkansas Code Annotated § 9-15-207 | Arkansas Code § 9-15-207 | A.C.A. § 9-15-207 | A.C.A. 9-15-207 | ACA § 9-15-207 | ACA 9-15-207 | Ark.Code Ann.9-15-207 | Ark Code 9-15-207 | Ark. Code 9-15-207 | ar code sect 9-15-207 | § 9-15-207 | A.C.A.§ 9-15-207 | A.C.A.§9-15-207 | §9-15-207 | 9-15-207 | 915207 | 09-15-207 | 09-15-0207 | 9 15 207 | 9/15/207 | 9_15_207,Criminal Conviction,Violation of Order of Protection – Knowingly violating a valid court-issued civil or criminal order of protection.,Family / Protective,Conviction,Class A Misdemeanor (First) / Class D Felony (Subsequent within 5 yrs),,Tier 2,No,No,1 year (Misdemeanor) / 6 years (Felony),"$1,000 (Misdemeanor) / $10,000 (Felony)",Standard Misdemeanor / Felony Track,GRID,Standard state guidelines apply,No,Yes,Eligible,Yes,Yes (standard),,Yes,Yes,Court Discretion,Eligible,Conditional,3 years,Conditional,Yes (Governor),Conditional (federal restriction may remain),Upon discharge / completion of sentence,N/A (adult offense),Immediate suspension of any concealed carry permit; professional licensing risk,Excluded from Ban-the-Box protections (Violent/Domestic),3 – Non-Violent Felony,Mandatory registration in the Arkansas Protective Order Registry; triggers federal firearm ban under 18 U.S.C. § 922(g); enforced by Local Law Enforcement & Circuit Courts,Federal prohibition under 18 U.S.C. § 922(g),None indicated,None indicated,None indicated,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 9-15-207 | Domestic Abuse Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Domestic & Family Offenses,Domestic Violence,Group 2: Family & Protective Orders,Domestic Abuse Act,§ 9-15-103,Arkansas Code,Ark. Code Ann. § 9-15-103 | Arkansas Code Annotated § 9-15-103 | Arkansas Code § 9-15-103 | A.C.A. § 9-15-103 | A.C.A. 9-15-103 | ACA § 9-15-103 | ACA 9-15-103 | Ark.Code Ann.9-15-103 | Ark Code 9-15-103 | Ark. Code 9-15-103 | ar code sect 9-15-103 | § 9-15-103 | A.C.A.§ 9-15-103 | A.C.A.§9-15-103 | §9-15-103 | 9-15-103 | 915103 | 09-15-103 | 09-15-0103 | 9 15 103 | 9/15/103 | 9_15_103,Regulatory Action,Domestic Abuse Definitions – Pure definition section; contains no standalone criminal or civil offenses.,Family / Protective,Conviction,Non-Criminal (Statutory Definitions),,,No,No,,,,,,No,No,,Yes,,,Yes,Yes,Court Discretion,,,,,,,,,Indirect (serves as base definition for court findings),,2 – Standard Misdemeanor,No direct registry impact; serves as foundation for civil protective order findings through Circuit Courts (Domestic Relations Division),None indicated,None indicated,None indicated,None indicated,None indicated,Standard employer discretion,Ark. Code Ann. § 9-15-103 | Domestic Abuse Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Domestic & Family Offenses,Child Abuse / Neglect,Group 2: Family & Protective Orders,Arkansas Juvenile Code,§ 9-27-303,Arkansas Code,Ark. Code Ann. § 9-27-303 | Arkansas Code Annotated § 9-27-303 | Arkansas Code § 9-27-303 | A.C.A. § 9-27-303 | A.C.A. 9-27-303 | ACA § 9-27-303 | ACA 9-27-303 | Ark.Code Ann.9-27-303 | Ark Code 9-27-303 | Ark. Code 9-27-303 | ar code sect 9-27-303 | § 9-27-303 | A.C.A.§ 9-27-303 | A.C.A.§9-27-303 | §9-27-303 | 9-27-303 | 927303 | 09-27-303 | 09-27-0303 | 9 27 303 | 9/27/303 | 9_27_303,Regulatory Action,Child Maltreatment Findings – Definition framework for administrative/civil adjudication of abuse.,Family / Protective,Conviction,Non-Criminal (Civil/Administrative Adjudication),,,No,No,,,,,,No,No,,Yes,,,Yes,Yes,Court Discretion,,,,,,,,,"Potential immediate revocation of educator, medical, or childcare licenses",Excluded from protections due to safety registries,2 – Standard Misdemeanor,"Mandatory placement on the Arkansas Child Maltreatment Central Registry; permanent barring from healthcare, childcare, and education; enforced by Arkansas DHS",None indicated,None indicated,None indicated,None indicated,Child Maltreatment Central Registry,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 9-27-303 | Arkansas Juvenile Code,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Domestic & Family Offenses,Child Abuse / Neglect,Group 2: Family & Protective Orders,Child Care Facility Licensing Act,§ 9-28-409,Arkansas Code,Ark. Code Ann. § 9-28-409 | Arkansas Code Annotated § 9-28-409 | Arkansas Code § 9-28-409 | A.C.A. § 9-28-409 | A.C.A. 9-28-409 | ACA § 9-28-409 | ACA 9-28-409 | Ark.Code Ann.9-28-409 | Ark Code 9-28-409 | Ark. Code 9-28-409 | ar code sect 9-28-409 | § 9-28-409 | A.C.A.§ 9-28-409 | A.C.A.§9-28-409 | §9-28-409 | 9-28-409 | 928409 | 09-28-409 | 09-28-0409 | 9 28 409 | 9/28/409 | 9_28_409,Civil Penalty / Administrative,Child Care Facility Registry Violations – Operating or working in a child care facility with a disqualifying registry entry.,Family / Protective,Civil / Administrative,Civil Administrative Violation / Collateral Misdemeanor,,Tier 1,No,No,None (unless criminal cross-charges apply),Varies by agency penalty scheme,,,,,,,,,,,,,,Conditional,,Yes,Yes (Governor),Yes,Upon completion of sentence,N/A (adult offense),Mandatory revocation of childcare facility license or operator permit,Excluded from protections due to safety registries,3 – Non-Violent Felony,"Civil penalty $50–$1,000 per day of non-compliance; direct entry or reinforcement of exclusion on Child Care Registry; permanent barring from owning or operating childcare facilities; enforced by DHS Division of Child Care and Early Childhood Education",None indicated,None indicated,None indicated,None indicated,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 9-28-409 | Child Care Facility Licensing Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Public Health & Welfare,Building / Zoning / Safety Codes,Group 2: Professional Licensing Actions,Professional Engineers & Surveyors,§ 17-30-305,Arkansas Code,Ark. Code Ann. § 17-30-305 | Arkansas Code Annotated § 17-30-305 | Arkansas Code § 17-30-305 | A.C.A. § 17-30-305 | A.C.A. 17-30-305 | ACA § 17-30-305 | ACA 17-30-305 | Ark.Code Ann.17-30-305 | Ark Code 17-30-305 | Ark. Code 17-30-305 | ar code sect 17-30-305 | § 17-30-305 | A.C.A.§ 17-30-305 | A.C.A.§17-30-305 | §17-30-305 | 17-30-305 | 1730305 | 17-30-0305 | 17 30 305 | 17/30/305 | 17_30_305,Licensing Action,"Professional Engineers – Fraud, deceit, gross negligence, or misconduct in engineering practice.",Licensing,Licensing Review,Civil Licensing Discipline / Administrative,,,No,No,,None (Criminal),,,,,,,,,,,,,,,,,,,,,"Revocation, suspension, or refusal to renew engineering license","N/A (Licensing, not criminal record)",3 – Non-Violent Felony,"Civil penalty up to $5,000 per violation; public disciplinary registry entry on State Board of Licensure for Professional Engineers; permanent impact on individual engineering practice",None indicated,None indicated,None indicated,None indicated,None indicated,Standard employer discretion,Ark. Code Ann. § 17-30-305 | Professional Engineers & Surveyors,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Public Health & Welfare,Building / Zoning / Safety Codes,Group 2: Professional Licensing Actions,Contractors,§ 17-25-103,Arkansas Code,Ark. Code Ann. § 17-25-103 | Arkansas Code Annotated § 17-25-103 | Arkansas Code § 17-25-103 | A.C.A. § 17-25-103 | A.C.A. 17-25-103 | ACA § 17-25-103 | ACA 17-25-103 | Ark.Code Ann.17-25-103 | Ark Code 17-25-103 | Ark. Code 17-25-103 | ar code sect 17-25-103 | § 17-25-103 | A.C.A.§ 17-25-103 | A.C.A.§17-25-103 | §17-25-103 | 17-25-103 | 1725103 | 17-25-0103 | 17 25 103 | 17/25/103 | 17_25_103,Civil Penalty / Administrative,Contractor Violations – Working as a commercial contractor without a valid state license.,Licensing,Licensing Review,Class A Misdemeanor (Criminal) / Civil penalty,,Tier 2,No,No,1 year (if criminally prosecuted),"$1,000 (Criminal)",Standard Misdemeanor Track,GRID,Standard,,,,,,,,,,,Conditional,3 years,Yes,Yes (Governor),Yes,Upon completion of sentence,N/A (adult offense),Denial of future licensure; immediate cease-and-desist orders,Excluded if prosecuted criminally,2 – Standard Misdemeanor,"Civil penalty up to $10,000 or double the project value; state contractor blacklist / public enforcement log; limits commercial project bidding; enforced by Arkansas Contractors Licensing Board",None indicated,None indicated,None indicated,None indicated,None indicated,Standard employer discretion,Ark. Code Ann. § 17-25-103 | Contractors,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Public Health & Welfare,Building / Zoning / Safety Codes,Group 2: Professional Licensing Actions,Residential Contractors,§ 17-25-510,Arkansas Code,Ark. Code Ann. § 17-25-510 | Arkansas Code Annotated § 17-25-510 | Arkansas Code § 17-25-510 | A.C.A. § 17-25-510 | A.C.A. 17-25-510 | ACA § 17-25-510 | ACA 17-25-510 | Ark.Code Ann.17-25-510 | Ark Code 17-25-510 | Ark. Code 17-25-510 | ar code sect 17-25-510 | § 17-25-510 | A.C.A.§ 17-25-510 | A.C.A.§17-25-510 | §17-25-510 | 17-25-510 | 1725510 | 17-25-0510 | 17 25 510 | 17/25/510 | 17_25_510,Licensing Action,Contractor Civil Penalties – Committing residential contracting violations or failing to maintain a bond.,Licensing,Licensing Review,Civil Administrative Enforcement,,,No,No,,,,,,,,,,,,,,,,,,,,,,,Suspension of residential license; forfeiture of performance bonds,N/A (Civil),3 – Non-Violent Felony,Civil penalty up to $400 per day of ongoing violation; state contractor blacklist; restricts residential building permits; enforced by Residential Contractors Committee / Contractors Board,None indicated,None indicated,None indicated,None indicated,None indicated,Standard employer discretion,Ark. Code Ann. § 17-25-510 | Residential Contractors,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Public Health & Welfare,Other Public Health & Welfare,Group 2: Professional Licensing Actions,Nurse Practice Act,§ 17-87-309,Arkansas Code,Ark. Code Ann. § 17-87-309 | Arkansas Code Annotated § 17-87-309 | Arkansas Code § 17-87-309 | A.C.A. § 17-87-309 | A.C.A. 17-87-309 | ACA § 17-87-309 | ACA 17-87-309 | Ark.Code Ann.17-87-309 | Ark Code 17-87-309 | Ark. Code 17-87-309 | ar code sect 17-87-309 | § 17-87-309 | A.C.A.§ 17-87-309 | A.C.A.§17-87-309 | §17-87-309 | 17-87-309 | 1787309 | 17-87-0309 | 17 87 309 | 17/87/309 | 17_87_309,Licensing Action,"Nursing License Discipline – Fraud in procuring license, drug diversion, gross incompetence, or unfitness.",Licensing,Licensing Review,Civil Licensing Discipline,,,No,No,,,,,,,,,,,,,,,,,,,,,,,"Revocation, suspension, or formal reprimand of nursing license",,3 – Non-Violent Felony,"Civil penalty up to $1,000 per violation; NURSYS national database entry; state board disciplinary log; permanent preclusion from employment across all healthcare sectors; enforced by Arkansas State Board of Nursing",None indicated,None indicated,None indicated,None indicated,NURSYS national database entry,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 17-87-309 | Nurse Practice Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Public Health & Welfare,Other Public Health & Welfare,Group 2: Professional Licensing Actions,Medical Practices Act,§ 17-95-409,Arkansas Code,Ark. Code Ann. § 17-95-409 | Arkansas Code Annotated § 17-95-409 | Arkansas Code § 17-95-409 | A.C.A. § 17-95-409 | A.C.A. 17-95-409 | ACA § 17-95-409 | ACA 17-95-409 | Ark.Code Ann.17-95-409 | Ark Code 17-95-409 | Ark. Code 17-95-409 | ar code sect 17-95-409 | § 17-95-409 | A.C.A.§ 17-95-409 | A.C.A.§17-95-409 | §17-95-409 | 17-95-409 | 1795409 | 17-95-0409 | 17 95 409 | 17/95/409 | 17_95_409,Licensing Action,"Medical Board Actions – Unprofessional conduct, gross negligence, or unauthorized prescription practices.",Licensing,Licensing Review,Civil Licensing Discipline,,,No,No,,,,,,,,,,,,,,,,,,,,,,,"Revocation, suspension, or strict restriction of medical license",,3 – Non-Violent Felony,"Civil penalty up to $5,000 per violation; National Practitioner Data Bank (NPDB) registry entry; permanent preclusion from clinical practice or hospital privileges; enforced by Arkansas State Medical Board",None indicated,None indicated,None indicated,None indicated,National Practitioner Data Bank (NPDB) registry entry,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 17-95-409 | Medical Practices Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Public Health & Welfare,Other Public Health & Welfare,Group 2: Professional Licensing Actions,Pharmacy Practice Act,§ 17-82-316,Arkansas Code,Ark. Code Ann. § 17-82-316 | Arkansas Code Annotated § 17-82-316 | Arkansas Code § 17-82-316 | A.C.A. § 17-82-316 | A.C.A. 17-82-316 | ACA § 17-82-316 | ACA 17-82-316 | Ark.Code Ann.17-82-316 | Ark Code 17-82-316 | Ark. Code 17-82-316 | ar code sect 17-82-316 | § 17-82-316 | A.C.A.§ 17-82-316 | A.C.A.§17-82-316 | §17-82-316 | 17-82-316 | 1782316 | 17-82-0316 | 17 82 316 | 17/82/316 | 17_82_316,Licensing Action,"Pharmacy License Discipline – Professional misconduct, substitution of drugs, or violating drug safety laws.",Licensing,Licensing Review,Civil Licensing Discipline,,,No,No,,,,,,,,,,,,,,,,,,,,,,,Revocation or emergency suspension of pharmacy license,,3 – Non-Violent Felony,"Civil penalty up to $1,000 per violation; national pharmacy board action tracking log; permanent preclusion from practice or operation of a pharmacy; enforced by Arkansas State Board of Pharmacy",None indicated,None indicated,None indicated,None indicated,None indicated,Standard employer discretion,Ark. Code Ann. § 17-82-316 | Pharmacy Practice Act,Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
