Row_Count,State_Category,Subcategory,Group_Category,Statutory_Title,Statute_Number,Authority_Type,Alternate_Citations,Record_Type,Offense_Description,Consequence_Category,Lifecycle_Stage,Offense_Classification,DOC_Seriousness_Level,Internal_Screening_Tier,Violent_Offense,Act_659_State_Equiv,Max_Jail_Prison_Time,Max_Financial_Fine,PAA_Release_Tier,Release_Code,Release_Parole_Tier,Jail_Only,Prison_Eligible,Probation_Eligible,SIS_Suspended_Sentence,Parole_Eligible,Mandatory_Minimum,Earned_Time_Credits,Good_Time_Eligible,Electronic_Monitoring,Work_Release_Eligible,Sealing_Eligible,Sealing_Waiting_Period,Expungement_Eligible,Pardon_Eligible,Firearm_Rights_Restoration,Voting_Rights_Restored,Juvenile_Sealing_Avail,License_Impact,BTB_Status,Consequence_Severity,Collateral_Raw_Summary,Collateral_Firearms,Collateral_Immigration,Collateral_Voting,Collateral_Housing,Collateral_Registry,Collateral_Employment,Source_Citation,Research_Status,Statute_Version,Last_Verified_Date,Last_Updated_By,Corrections_Key,Reportable_Scope
147,Fraud & Forgery,Identity Theft,Property Offenses,Aggravated Identity Theft (Elderly / Disabled Victim),720 ILCS 5/16-30(b)(1),Statutory State Code,"720 ILCS 5/16-30(b)(1), 720ILCS5/16-30, 720ILCS51630b1, 720_ILCS_5_16_30_B",Criminal Conviction,"Knowingly manufacturing, using, or acquiring the personal identifying information of an individual with knowledge that the victim is an elderly person (60 or older) or a person with a disability",Felony Criminal Penalties,Post-Disposition Conviction,Class 3 Felony (scales up dynamically to Class X Felony depending on the monetary values stolen from the victim),Level 5 Moderate Felony,Tier 1 High Risk Exclusion,No (Classified as high-vulnerability financial exploitation),Permanent Healthcare and Elder Care Disqualification,5 Years,"$25,000 (plus absolute restitution vectors targeting elder portfolios)",Level 4 Absolute Restriction,IL-MSR-F3-AGTHEFT,1 Year Mandatory Supervised Release,No,Yes,Yes,Available via Judicial Discretion,Yes,None (unless specific multi-victim enterprise scales are triggered),Standard statutory scale,Yes,Discretionary Placement,No,No (Aggravated identity theft targeting elderly or disabled individuals is strictly excluded from record sealing under 20 ILCS 2630/5.2 due to systemic vulnerability exploitation),Ineligible,No,Yes,Ineligible due to felony status,Automatic upon release from confinement,Not Applicable,"Permanent automatic professional board exclusion from nursing home administration, clinical care, home health assistance, banking, and real estate operations",Exempt from initial Ban-the-Box protections,Maximum Severe Structural Impact,"Severe fiduciary breach and vulnerability exploitation profile; absolute lifetime block from eldercare facilities, retirement homes, hospital billing networks, and client trust accounts",Felony conviction bar under 430 ILCS 65/,Crime involving moral turpitude / fraud and exploitation classification,Restored post-release,Systematic corporate multi-family housing bans,Illinois Department of Public Health Health Care Worker Registry (Disqualified / Abuse Status Listing),"Total permanent statutory employment bar across all hospitals, long-term care grids, fiduciary asset entities, and home delivery customer support grids",720 ILCS 5/16-30,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Maps distinct structural vulnerability enhancements inside consolidated property codes,Lifetime reportable (Conviction)
148,Theft & Property Crimes,Petty Theft / Retail Theft,Property Offenses,Theft of Library Material,720 ILCS 5/16-3(a),Statutory State Code,"720 ILCS 5/16-3(a), 720ILCS5/16-3, 720ILCS5163, 720_ILCS_5_16_3",Criminal Conviction,Knowingly borrowing or concealing library materials books or archival properties without authorization and failing to return the items upon lawful notice,Misdemeanor Criminal Penalties (elevated to a Class 4 Felony if the full replacement value of the library material exceeds $200),Post-Disposition Conviction,Class A Misdemeanor (assumes base value under $200 threshold),Level 8 Misdemeanor Scale,Tier 2 Conditional Adjudication Review,No,Low Level Property Review Track,364 Days,$2500 (plus full library material restitution assessments),Level 3 Restricted,IL-MISD-THEFT,,Yes,No,Yes,Available via court supervision under 730 ILCS 5/5-6-1,No,,Standard misdemeanor rules,Yes,No,Yes,Yes (Misdemeanor public library resource theft profiles are fully sealable under 20 ILCS 2630/5.2 if structural replacement billing is completed),3 years post-completion of sentence,No (Convictions can only be sealed),Yes,Unaffected,Automatic upon release,Covered under standard juvenile codes,Discretionary professional board review minimal standard licensing risk,Protected under initial Ban-the-Box timelines,Moderate Structural Impact,Misdemeanor property conviction creating standard honesty and trust flags across institutional archival networks schools and civic record centers until sealed,No statutory restriction,Minimal impact,Unaffected,Subject to standard private tenant screening filters,,Creates screening flags for data registries school district auxiliary staffing and municipal inventory roles,720 ILCS 5/16-3,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Maps historical library preservation mandates within current property theft codes,Lifetime reportable (Conviction)
149,Theft & Property Crimes,Petty Theft / Retail Theft,Property Offenses,Theft by Bailee (Unlawful Conversion of Entrusted Property),720 ILCS 5/16-1(a)(1)[Bailee],Statutory State Code,"720 ILCS 5/16-1, 720ILCS5/16-1-Bailee, 720ILCS5161Bailee",Criminal Conviction,"Knowingly converting or misappropriating property, equipment, or vehicles lawfully entrusted to one's care under a bailment or custodial agreement with intent to permanently deprive the rightful owner",Felony Criminal Penalties,Post-Disposition Conviction,Class 3 Felony (assumes standard baseline value of property converted falls between $500 and $10000),Level 5 Moderate Felony,Tier 1 High Risk Exclusion,No,Property Crime Review Track,5 Years,$25000 (or double the value of the property converted),Level 3 Restricted,IL-MSR-F3-BAILET,1 Year Mandatory Supervised Release,No,Yes,Yes,Available via Judicial Discretion,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,Yes (Eligible for sealing under standard property exemptions of 20 ILCS 2630/5.2 if all financial restitution orders are fully paid and verified),3 years post-completion of sentence,No,Yes,Ineligible while felony remains unsealed,Automatic upon release from confinement,Not Applicable,"Permanent automatic professional board exclusion from real estate broker, insurance agent, fiduciary manager, or transport logistics licensing",Protected under initial Ban-the-Box timelines,Severe Structural Impact,"High integrity, conversion, and fiduciary breach profiling flag; absolute exclusion from banking networks, commercial inventory custody, cargo management, and vehicle fleet operations",Felony conviction bar under 430 ILCS 65/,Theft offense / crime involving moral turpitude tracking profile under federal immigration codes,Restored post-release,Standard rental screening filters applied,,"Total absolute barrier for FDIC-insured financial institutions under Section 19, managing high-value warehouses, or corporate asset leasing oversight",720 ILCS 5/16-1,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Maps bailment defaults cleanly within unified larceny codes,Lifetime reportable (Conviction)
150,Theft & Property Crimes,Petty Theft / Retail Theft,Property Offenses,Theft by Bailee - Arrest Record,720 ILCS 5/16-1-Bailee-A,Statutory State Code,"720 ILCS 5/16-1-A, 720ILCS5/16-1-Bailee-Arrest, 720ILCS5161BaileeA",Arrest Record / Dropped Charges,Custodial arrest or formal charging instrument filed for felony conversion under a bailment contract resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Evaluated via individual professional board review,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; cannot be used as an automatic bar to employment,No statutory restriction based on dismissed charges,"Minimal impact if cleared, requires certified disposition documents",Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Verified via 2026 IL General Assembly,7-year reportable limit (Non-Conviction)
151,Impaired Driving,DUI / DWI — General (Criminal),Public Order Offenses,"Driving Under the Influence of Alcohol, Other Drug or Drugs, Intoxicating Compound or Compounds",625 ILCS 5/11-501(a)(2),Statutory State Code,"625 ILCS 5/11-501, 625ILCS5/11-501, 625ILCS511501, 625_ILCS_5_11_501, Cook County 11-501",Criminal Conviction,"Operating or being in actual physical control of any vehicle within Illinois while under the influence of alcohol, drugs, or a combination thereof to a degree that renders the person incapable of safely driving",Misdemeanor Criminal Penalties (elevated to felony aggravated status upon third offense or if operating without a valid license/insurance or if resulting in bodily harm),Post-Disposition Conviction,Class A Misdemeanor (baseline first or second conviction evaluated here),Level 8 Misdemeanor Scale,Tier 2 Conditional Adjudication Review,No (Aggravated felony variants are tracked under violent proximity indicators),Transport Fleet and Logistics Review Track,364 Days,$2500 (plus mandatory chemical treatment assessments and technology fees),Level 3 Restricted,IL-MISD-DUI,,Yes,No (unless enhanced),Yes,"Ineligible for Court Supervision under 730 ILCS 5/5-6-1(c) if prior DUI supervision or convictions exist; first-lifetime offenders may receive supervision, but a formal judgment of conviction is unsealable",No,"None (Unless blood alcohol concentration exceeds 0.16, triggering mandatory minimum 100 hours community service and a minimum $500 fine)",Standard misdemeanor rules,Yes,Discretionary (Ignition Interlock Device required for vehicle operation),Yes,No (DUI convictions under the Illinois Vehicle Code are explicitly and permanently excluded from record sealing under 20 ILCS 2630/5.2),Ineligible,No,Yes,Generally unaffected by misdemeanor DUI unless multi-conviction patterns establish habitual user status,Automatic upon release,Not Applicable,Mandatory automatic statutory driver's license revocation by the Secretary of State and immediate multi-year Commercial Driver's License (CDL) disqualification,Exempt from initial Ban-the-Box protections for transport roles,Severe Transport Impact,Permanently unsealable traffic conviction triggering absolute exclusion from commercial driving mobile fleet logistics corporate vehicle operation and high-value transport underwriting,No automatic ban unless intersecting with clinical dependency definitions,Complex review parameters if paired with multiple traffic infractions or driver restrictions,Unaffected,Standard private property tenant lookbacks apply,Secretary of State DUI Enforcement Database,Total operational barrier for corporate driver networks logistics fleet routing shipping operations school district transportation and mass transit grids,625 ILCS 5/11-501,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Enforces strict permanently unsealable conviction status under Illinois code updates,Lifetime reportable (Conviction)
152,Impaired Driving,DUI / DWI — General (Criminal),Public Order Offenses,Driving Under the Influence - Arrest Record,625 ILCS 5/11-501-A,Statutory State Code,"625 ILCS 5/11-501-A, 625ILCS5/11-501-Arrest, 625ILCS511501A",Arrest Record / Dropped Charges,"Custodial arrest or formal charging instrument filed for Driving Under the Influence resulting in an acquittal, dismissal, or dropped charges",Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No (Note: Administrative Summary Suspension of license may apply separate from criminal court path),No,Yes,Immediate upon official dismissal or acquittal,"Yes (Note: The statutory criminal arrest record is fully expungable under 20 ILCS 2630/5.2, but the civil Statutory Summary Suspension ledger on the Secretary of State driving abstract remains visible unless independently challenged)",Not Applicable,Unaffected,Unaffected,Not Applicable,Subject to separate administrative statutory summary suspension based on chemical test failure or refusal,Fully protected under Illinois Human Rights Act background check limits,Moderate Risk (due to dual administrative abstract tracking),"Subject to immediate criminal expungement under 20 ILCS 2630/5.2; cannot be used as an automatic bar to general employment, but transport underwriters review civil abstract logs",No statutory restriction,Certified disposition documents required for visa or border crossing verification,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act; commercial vehicle fleets review parallel Secretary of State driving abstract logs,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Normalizes interaction between criminal non-convictions and civil Secretary of State abstracts,7-year reportable limit (Non-Conviction)
153,Impaired Driving,DUI / DWI — General (Criminal),Public Order Offenses,Aggravated Driving Under the Influence,625 ILCS 5/11-501(d)(1)(A),Statutory State Code,"625 ILCS 5/11-501(d), 625ILCS5/11-501, 625ILCS511501d, 625_ILCS_5_11_501_D",Criminal Conviction,Operating a motor vehicle under the influence of alcohol or drugs while committing a third or subsequent DUI violation,Felony Criminal Penalties,Post-Disposition Conviction,Class 4 Felony (scales up to Class X depending on prior count volume or death/injury parameters),Level 6 Lower-Intermediate Felony,Tier 1 High Risk Exclusion,No (Classified under high-risk public safety recidivism felony lines),Transport Fleet and Logistics Review Track,3 Years (scales up to 30 years for higher sub-tiers),$25000 (plus mandatory structural substance interventions),Level 4 Absolute Restriction,IL-MSR-F4-AGGDUI,1 Year Mandatory Supervised Release,No,Yes,Yes (highly restricted or barred depending on prior sentencing histories),Ineligible,Yes,None (Unless specific prior metrics force a mandatory 10-day jail or 480-hour community service block),Standard statutory scale,Yes,Pre-and-post-release tracking protocols (Ignition Interlock Device mandatory),No,No (Felony DUI convictions under the Vehicle Code are permanently and statutorily excluded from sealing under 20 ILCS 2630/5.2),Ineligible,No,Yes,Ineligible due to felony conviction status,Automatic upon release from confinement,Not Applicable,Mandatory permanent driver's license revocation by the Secretary of State and lifetime Commercial Driver's License (CDL) forfeiture,Exempt from initial Ban-the-Box protections,Severe Structural Impact,"Permanent loss of firearms and commercial driving rights; statutorily unsealable felony; total exclusion from public transport infrastructure, supply chain logistics, and mobile fleet management roles",Permanent statutory firearm ban under 430 ILCS 65/,Severe risk tracking if paired with prior deportable driving offences,Restored post-release,Extended lookback filters applied by corporate property management networks,Secretary of State DUI Enforcement Database,Total permanent operational barrier across passenger transit commercial fleet routing school districts and delivery networks,625 ILCS 5/11-501,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Maps localized recidivist felony tracking within the Vehicle Code,Lifetime reportable (Conviction)
154,Impaired Driving,DUI / DWI — General (Criminal),Public Order Offenses,Aggravated Driving Under the Influence - Uninsured Operation,625 ILCS 5/11-501(d)(1)(G),Statutory State Code,"625 ILCS 5/11-501(d)(1)(G), 625ILCS5/11-501, 625ILCS511501d1G, 625_ILCS_5_11_501_D_1_G",Criminal Conviction,Operating a motor vehicle under the influence of alcohol or drugs while knowing or having reason to know that the vehicle was not covered by a liability insurance policy,Felony Criminal Penalties,Post-Disposition Conviction,Class 4 Felony,Level 6 Lower-Intermediate Felony,Tier 1 High Risk Exclusion,No (Regulatory liability compliance felony),Transport Fleet and Risk Review Track,3 Years,$25000 (plus mandatory financial liability restorations),Level 4 Absolute Restriction,IL-MSR-F4-UNINSDUI,1 Year Mandatory Supervised Release,No,Yes,Yes,Ineligible,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,No (Permanently unsealable under 20 ILCS 2630/5.2 rules for motor vehicle operation offenses),Ineligible,No,Yes,Ineligible due to felony status,Automatic upon release from confinement,Not Applicable,Mandatory automatic driver's license revocation by the Secretary of State and permanent CDL forfeiture,Exempt from initial Ban-the-Box protections,Severe Structural Impact,"Extreme risk and insurance liability profiling flag; unsealable felony entry; absolute exclusion from corporate transport fleets, delivery logistics, and commercial vehicle risk underwriting",Felony conviction bar under 430 ILCS 65/,Evaluated under regulatory violation patterns,Restored post-release,Standard felony leasing exclusions apply,,Total permanent statutory employment bar across all logistics fleet routing commercial passenger delivery and corporate asset control,625 ILCS 5/11-501,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Maps distinct liability-insurance enhancements inside consolidated DUI codes,Lifetime reportable (Conviction)
155,Impaired Driving,DUI / DWI — General (Criminal),Public Order Offenses,Aggravated Driving Under the Influence - Unlicensed Operation,625 ILCS 5/11-501(d)(1)(H),Statutory State Code,"625 ILCS 5/11-501(d)(1)(H), 625ILCS5/11-501, 625ILCS511501d1H, 625_ILCS_5_11_501_D_1_H",Criminal Conviction,Operating a motor vehicle under the influence of alcohol or drugs without possessing a valid driver's license permit or operating privilege,Felony Criminal Penalties,Post-Disposition Conviction,Class 4 Felony,Level 6 Lower-Intermediate Felony,Tier 1 High Risk Exclusion,No,Transport Fleet and Compliance Review Track,3 Years,$25000,Level 4 Absolute Restriction,IL-MSR-F4-NOLICDUI,1 Year Mandatory Supervised Release,No,Yes,Yes,Ineligible,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,No (Permanently unsealable under motor vehicle operation exclusions of 20 ILCS 2630/5.2),Ineligible,No,Yes,Ineligible due to felony status,Automatic upon release from confinement,Not Applicable,Extended structural bar against license issuance and permanent CDL denial,Exempt from initial Ban-the-Box protections,Severe Structural Impact,"Extreme regulatory non-compliance profile; unsealable felony entry; absolute exclusion from commercial logistics, fleet operations, and corporate asset control",Felony conviction bar under 430 ILCS 65/,Evaluated under regulatory violation patterns,Restored post-release,Standard felony leasing filters applied,,Total permanent operational barrier across all corporate driver grids logistics fleet routing transport fleets and delivery operations,625 ILCS 5/11-501,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Maps distinct structural licensing enhancements inside unified traffic crime matrices,Lifetime reportable (Conviction)
156,Moving Violations & Traffic Offenses,Speeding / Moving Infractions,Public Order Offenses,Excessive Speeding (26 to 34 MPH Over Limit),625 ILCS 5/11-601.5(a),Statutory State Code,"625 ILCS 5/11-601.5(a), 625ILCS5/11-601.5, 625ILCS5116015, 625_ILCS_5_11_601_5",Criminal Conviction,Operating a motor vehicle upon any highway or roadway at a speed that exceeds the applicable lawful speed limit by 26 miles per hour or more but less than 35 miles per hour,Misdemeanor Criminal Penalties,Post-Disposition Conviction,Class B Misdemeanor (exceeding 35 mph scales to a Class A Misdemeanor under 601.5(b)),Level 8 Misdemeanor Scale,Tier 2 Conditional Adjudication Review,No,Transport Fleet and Logistics Review Track,60 Days,$1500,Level 3 Restricted,IL-MISD-TRAFFIC,,Yes,No,Yes,Available via court supervision under 730 ILCS 5/5-6-1,No,,Standard misdemeanor rules,Yes,No,Yes,No (Moving violations under the Illinois Vehicle Code are explicitly and permanently excluded from record sealing under 20 ILCS 2630/5.2),Ineligible,No,Yes,Unaffected,Automatic upon release,Covered under standard juvenile codes,High insurance risk points tracking; immediate disruption risks for corporate commercial driver safety metrics,Protected under initial Ban-the-Box timelines,Severe Transport Impact,Statutorily unsealable misdemeanor moving conviction causing immediate uninsurable status for many corporate fleets and delivery operations,No statutory restriction,Minimal impact,Unaffected,Standard private tenant screening lookbacks apply,,Absolute operational barrier for commercial driving logistics fleet routing shipping lines and passenger transit networks,625 ILCS 5/11-601.5,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Maps modern distinct criminal speeding benchmarks separate from standard traffic tickets,Lifetime reportable (Conviction)
157,Public Health & Welfare,Building / Zoning / Safety Code Violations,Public Order Offenses,Environmental Protection Act Violation - Unauthorized Waste Disposal,415 ILCS 5/44(a),Statutory State Code,"415 ILCS 5/44(a), 415ILCS5/44, 415ILCS544, 415_ILCS_5_44",Criminal Conviction,"Knowingly conducting a waste-storage, waste-treatment, or waste-disposal operation without a valid permit or in direct violation of state environmental protection standards",Felony Criminal Penalties,Post-Disposition Conviction,Class 4 Felony (scales up significantly to higher felony tiers for hazardous or toxic compound releases),Level 6 Lower-Intermediate Felony,Tier 1 High Risk Exclusion,No (Classified under high-risk corporate and public health endangerment tracking),Corporate Compliance and Public Safety Review Track,3 Years,$50000 for each day of ongoing violation (plus comprehensive environmental cleanup remediation liabilities),Level 3 Restricted,IL-MSR-F4-EPA,1 Year Mandatory Supervised Release,No,Yes,Yes,Available via Judicial Discretion,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,No (Felony environmental protection violations and corporate public safety breaches are explicitly excluded from sealing lists under 20 ILCS 2630/5.2),Ineligible,No,Yes,Ineligible due to felony status,Automatic upon release from confinement,Not Applicable,"Permanent automatic professional board exclusion from environmental engineering, waste management contracting, general manufacturing development, or corporate facilities management",Exempt from initial Ban-the-Box protections,Severe Structural Impact,"Corporate integrity and public health hazard flag; absolute permanent exclusion from government works bidding, public utility contracting, industrial facility engineering, and corporate procurement systems",Restricted under standard felony rules,Evaluated under regulatory corporate compliance indices,Restored post-release,Standard felony leasing filters applied,Environmental Protection Agency Enforcement Index,"Total permanent barrier across industrial operations, municipal public works networks, commercial logistics management, and facility plant operations",415 ILCS 5/44,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Maps state-level environmental crimes under the Illinois Environmental Protection Act,Lifetime reportable (Conviction)
158,Public Health & Welfare,Building / Zoning / Safety Code Violations,Public Order Offenses,Environmental Protection Act Violation - Arrest Record,415 ILCS 5/44-A,Statutory State Code,"415 ILCS 5/44-A, 415ILCS5/44-A, 415ILCS544A",Arrest Record / Dropped Charges,Custodial arrest or formal charging instrument filed for felony-tier environmental compliance violations resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Evaluated via individual professional board review,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; cannot be used as an automatic bar to employment,No statutory restriction based on dismissed charges,"Minimal impact if cleared, requires certified disposition documents",Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Verified via 2026 IL General Assembly,7-year reportable limit (Non-Conviction)
159,Fraud & Forgery,Fraud — General,Property Offenses,Corporate Deceptive Practices - Worthless Draft Issuance,720 ILCS 5/17-1(B)(e),Statutory State Code,"720 ILCS 5/17-1(B)(e), 720ILCS5/17-1, 720ILCS5171Be",Criminal Conviction,Knowingly issuing or delivering a check or draft in the name of a business entity or corporation with intent to defraud knowing it will not be paid by the depository,Felony Criminal Penalties,Post-Disposition Conviction,Class 4 Felony (scales higher based on corporate transaction totals and multi-vendor scheme impacts),Level 6 Lower-Intermediate Felony,Tier 1 High Risk Exclusion,No,Corporate Integrity and Financial Review Track,3 Years,$25000 (plus double the amount of the draft and mandatory merchant restitution frameworks),Level 3 Restricted,IL-MSR-F4-CORPCHECK,1 Year Mandatory Supervised Release,No,Yes,Yes,Available via Judicial Discretion,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,Yes (Eligible for sealing under specific structural exclusions of 20 ILCS 2630/5.2 if all corporate restitution parameters are finalized and certified),3 years post-completion of sentence,No,Yes,Ineligible while felony remains unsealed,Automatic upon release from confinement,Not Applicable,"Permanent automatic exclusion from corporate underwriting, escrow handling, legal practice, or financial brokerage",Protected under initial Ban-the-Box timelines,Severe Structural Impact,"Corporate fraud and commercial deception profiling flag; absolute exclusion from handling merchant ledger systems, corporate procurement lines, payroll processing, and fiduciary systems",Restricted under standard felony rules,Crime involving moral turpitude / fraud classification,Restored post-release,Standard rental screening filters applied,,"Total absolute barrier for FDIC-insured financial institutions under Section 19, managing vendor accounts, or handling corporate treasury ledgers",720 ILCS 5/17-1,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Maps business entity check fraud lines separate from individual petty checks,Lifetime reportable (Conviction)
160,Fraud & Forgery,Fraud — General,Public Trust Offenses,Financial Institution Fraud - False Loan Application,720 ILCS 5/17-37(a)(2),Statutory State Code,"720 ILCS 5/17-37, 720ILCS5/17-37-Loan, 720ILCS51737a2",Criminal Conviction,"Knowingly making a false statement or report, or overvaluing any land, property, or security, to influence the action of a financial institution upon any loan application",Felony Criminal Penalties,Post-Disposition Conviction,Class 3 Felony (scales up to a Class 1 Felony depending on the aggregated value thresholds looted from the repository),Level 5 Moderate Felony,Tier 1 High Risk Exclusion,No,Severe Public Integrity Disqualification Track,5 Years (up to 15 years for extreme multi-tier commercial banking failures),$25000 (or double the value of the property obtained plus total asset forfeiture),Level 4 Absolute Restriction,IL-MSR-F3-LOANFRAUD,1 Year Mandatory Supervised Release,No,Yes,Yes,Available via Judicial Discretion,Yes,,Standard statutory scale,Yes,Discretionary Placement,Yes,No (Felony financial institution fraud records are explicitly barred from record sealing lists under 20 ILCS 2630/5.2 due to systemic banking compliance rules),Ineligible,No,Yes,Ineligible due to felony status,Automatic upon release from confinement,Not Applicable,"Permanent automatic corporate broker-dealer registration, FDIC clearance under Section 19, real estate broker, CPA, and legal license forfeiture",Exempt from initial Ban-the-Box protections,Maximum Severe Structural Impact,"Extreme enterprise risk and financial manipulation profiling; absolute permanent block from all corporate treasury operations, banking industries, financial asset management, real estate broker networks, and executive leadership tracks",Felony conviction bar under 430 ILCS 65/,Crime involving moral turpitude / severe financial fraud classification,Restored post-release,Absolute denial across major corporate multi-family lease underwriters,FDIC Section 19 Statutory Disqualification Index,"Total permanent statutory employment bar across all FDIC-insured entities, corporate accounting infrastructure, asset tracking networks, and government finance sectors",720 ILCS 5/17-37,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Maps state-level financial institution fraud models parallel to federal banking acts,Lifetime reportable (Conviction)
161,Fraud & Forgery,Computer Fraud / Cybercrime,Property Offenses,Cyber Extortion - Ransomware Deployment - Arrest Record,720 ILCS 5/17-51(a)(4)-A,Statutory State Code,"720 ILCS 5/17-51(a)(4)-A, 720ILCS5/17-51-A, 720ILCS51751A",Arrest Record / Dropped Charges,Custodial arrest or formal charging instrument filed for digital extortion or ransomware deployment resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No restriction,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Isolated non-conviction pathway for technical security compliance data,7-year reportable limit (Non-Conviction)
162,Fraud & Forgery,Fraud — General,Property Offenses,Deceptive Business Practices - False Advertising - Arrest Record,720 ILCS 5/17-12-A,Statutory State Code,"720 ILCS 5/17-12-A, 720ILCS5/17-12-A, 720ILCS51712A",Arrest Record / Dropped Charges,Custodial arrest or formal charging instrument filed for deceptive commercial advertising or market misrepresentation resulting in an acquittal dismissal or dropped charges,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,No,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted,Unaffected,Not Applicable,Subject to board inquiry but cannot establish an automatic statutory bar,Fully protected under Illinois Human Rights Act background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; employer utilization heavily restricted by state law,No restriction,Certified disposition documents required for verification parameters,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Isolated non-conviction pathway for commercial data tracking compliance,7-year reportable limit (Non-Conviction)
